game_id,week,game_date,home_team,away_team,predicted_viewers_millions,lower_bound_millions,upper_bound_millions,is_conference_game,is_rivalry,is_cfp_rematch,combined_brand,home_strength,away_strength,market_score
401858450,3,2026-09-19,Michigan,UTEP,3.2,1.257,7.333,False,False,False,5.411,0.5952,0.1516,5.2883
401858507,9,2026-10-31,Rutgers,Michigan,3.198,1.255,7.33,True,False,False,5.236,0.3965,0.5952,5.3519
401858449,3,2026-09-19,Indiana,Western Kentucky,3.183,1.24,7.315,False,False,False,4.152,0.9009,0.3193,5.2311
401858528,12,2026-11-21,Michigan,UCLA,3.168,1.225,7.301,True,False,False,5.657,0.5952,0.3949,5.2883
401858445,2,2026-09-12,USC,Louisiana,3.113,1.17,7.245,False,False,False,4.966,0.6136,0.2764,5.3471
401858504,9,2026-10-31,Nebraska,Washington,3.031,1.088,7.163,True,False,False,4.749,0.4588,0.5637,4.654
401858532,12,2026-11-21,Penn State,Rutgers,2.984,1.041,7.116,True,False,False,5.199,0.5827,0.3965,5.0304
401858457,3,2026-09-19,Rutgers,USC,2.952,1.009,7.084,True,False,False,4.791,0.3965,0.6136,5.3519
401858538,13,2026-11-28,Indiana,Purdue,2.901,0.958,7.034,True,False,False,4.007,0.9009,0.3194,5.2311
401858455,3,2026-09-19,Oregon,Portland State,2.899,0.956,7.031,False,False,False,4.071,0.8777,0.05,5.2417
401856788,2,2026-09-12,Iowa,Iowa State,2.896,0.953,7.028,False,False,False,3.612,0.5677,0.4157,4.7707
401858506,9,2026-10-31,Penn State,Purdue,2.874,0.931,7.006,True,False,False,5.229,0.5827,0.3194,5.0304
401858452,3,2026-09-19,Nebraska,North Dakota,2.837,0.894,6.969,False,False,False,4.454,0.4588,0.05,4.654
401864494,1,2026-08-29,USC,San José State,2.829,0.886,6.961,False,False,False,4.966,0.6136,0.1941,5.3471
401858495,8,2026-10-24,Illinois,Oregon,2.776,0.833,6.908,True,False,False,3.85,0.4778,0.8777,4.7875
401858510,10,2026-11-07,Illinois,Nebraska,2.668,0.725,6.8,True,False,False,4.233,0.4778,0.4588,4.7875
401858505,9,2026-10-31,Oregon,Northwestern,2.618,0.675,6.75,True,False,False,3.441,0.8777,0.4362,5.2417
401858544,13,2026-11-28,Wisconsin,Minnesota,2.615,0.672,6.747,True,True,False,3.607,0.4018,0.4317,5.1591
401858464,4,2026-09-26,Michigan State,Nebraska,2.579,0.636,6.711,True,False,False,4.583,0.3706,0.4588,4.5539
401858484,6,2026-10-10,Oregon,UCLA,2.555,0.612,6.687,True,False,False,4.317,0.8777,0.3949,5.2417
401858447,2,2026-09-12,Wisconsin,Western Illinois,2.554,0.611,6.686,False,False,False,3.518,0.4018,0.05,5.1591
401858437,1,2026-09-05,Washington,Washington State,2.548,0.605,6.68,False,False,False,3.295,0.5637,0.3419,5.2933
401858475,5,2026-10-03,Nebraska,Maryland,2.548,0.605,6.68,True,False,False,4.125,0.4588,0.3996,4.654
401858502,9,2026-10-31,Iowa,Wisconsin,2.521,0.578,6.653,True,False,False,4.13,0.5677,0.4018,4.7707
401858471,3,2026-09-19,Iowa,Northern Iowa,2.458,0.515,6.59,False,False,False,3.612,0.5677,0.05,4.7707
401858497,8,2026-10-24,Minnesota,Iowa,2.45,0.507,6.582,True,True,False,3.701,0.4317,0.5677,5.2781
401856782,2,2026-09-12,Oklahoma State,Oregon,2.411,0.468,6.543,False,False,False,4.071,0.382,0.8777,2.4849
401858534,12,2026-11-21,USC,Maryland,2.409,0.466,6.541,True,False,False,4.637,0.6136,0.3996,5.3471
401858217,2,2026-09-12,Illinois,Duke,2.376,0.433,6.508,False,False,False,2.779,0.4778,0.4528,4.7875
401858422,1,2026-09-03,Minnesota,Eastern Illinois,2.358,0.415,6.49,False,False,False,3.089,0.4317,0.05,5.2781
401858525,11,2026-11-14,Rutgers,Nebraska,2.343,0.4,6.475,True,False,False,4.279,0.3965,0.4588,5.3519
401858529,12,2026-11-21,Michigan State,Oregon,2.322,0.379,6.454,True,False,False,4.2,0.3706,0.8777,4.5539
401858441,2,2026-09-12,Nebraska,Bowling Green,2.32,0.377,6.452,False,False,False,4.454,0.4588,0.2304,4.654
401858470,4,2026-09-26,Washington,Minnesota,2.301,0.358,6.433,True,False,False,3.384,0.5637,0.4317,5.2933
401858446,2,2026-09-12,Washington,Utah State,2.28,0.337,6.412,False,False,False,3.295,0.5637,0.3058,5.2933
401858479,5,2026-10-03,Wisconsin,Michigan State,2.268,0.325,6.401,True,False,False,3.647,0.4018,0.3706,5.1591
401858426,1,2026-09-05,Iowa,Northern Illinois,2.265,0.322,6.397,False,False,False,3.612,0.5677,0.1861,4.7707
401858459,3,2026-09-19,Washington,Eastern Washington,2.224,0.281,6.356,False,False,False,3.295,0.5637,0.05,5.2933
401856677,2,2026-09-12,Minnesota,Mississippi State,2.152,0.209,6.284,False,False,False,3.089,0.4317,0.4134,5.2781
401858537,13,2026-11-28,Illinois,Northwestern,2.135,0.192,6.268,True,True,False,2.149,0.4778,0.4362,4.7875
401858527,12,2026-11-21,Illinois,Iowa,2.13,0.187,6.262,True,False,False,3.391,0.4778,0.5677,4.7875
401858513,10,2026-11-07,Northwestern,Iowa,2.118,0.175,6.25,True,False,False,2.982,0.4362,0.5677,5.3423
401858468,4,2026-09-26,Rutgers,Howard,2.093,0.15,6.225,False,False,False,2.825,0.3965,0.05,5.3519
401858429,1,2026-09-05,Michigan State,Toledo,2.066,0.123,6.198,False,False,False,3.129,0.3706,0.307,4.5539
401858431,1,2026-09-05,Northwestern,South Dakota State,2.034,0.1,6.167,False,False,False,2.37,0.4362,0.05,5.3423
401858210,1,2026-09-05,California,UCLA,1.978,0.1,6.11,False,False,False,3.246,0.3945,0.3949,2.4849
401858517,10,2026-11-07,Wisconsin,Rutgers,1.969,0.1,6.101,True,False,False,3.343,0.4018,0.3965,5.1591
401858448,3,2026-09-19,Illinois,Southern Illinois,1.943,0.1,6.076,False,False,False,2.779,0.4778,0.05,4.7875
401858542,13,2026-11-28,Rutgers,Michigan State,1.927,0.1,6.059,True,False,False,2.954,0.3965,0.3706,5.3519
401858521,11,2026-11-14,Michigan State,Washington,1.881,0.1,6.013,True,False,False,3.424,0.3706,0.5637,4.5539
401858427,1,2026-09-05,Maryland,Howard,1.863,0.1,5.996,False,False,False,2.671,0.3996,0.05,5.3181
401858443,2,2026-09-12,UCLA,San Diego State,1.859,0.1,5.991,False,False,False,3.246,0.3949,0.3711,5.3471
401858444,2,2026-09-12,UConn,Maryland,1.813,0.1,5.945,False,False,False,2.671,0.3144,0.3996,2.4849
401858494,7,2026-10-17,UCLA,Wisconsin,1.796,0.1,5.928,True,False,False,3.764,0.3949,0.4018,5.3471
401858214,2,2026-09-11,Boston College,Rutgers,1.789,0.1,5.921,False,False,False,2.825,0.352,0.3965,2.4849
401858232,3,2026-09-19,Maryland,Virginia Tech,1.784,0.1,5.916,False,False,False,2.671,0.3996,0.4444,5.3181
401858519,11,2026-11-14,Iowa,Purdue,1.777,0.1,5.909,True,False,False,3.467,0.5677,0.3194,4.7707
401858480,6,2026-10-10,Michigan State,Illinois,1.722,0.1,5.854,True,False,False,2.908,0.3706,0.4778,4.5539
401858508,9,2026-10-31,UCLA,Nevada,1.711,0.1,5.844,False,False,False,3.246,0.3949,0.242,5.3471
401858460,3,2026-09-19,Wisconsin,Eastern Michigan,1.708,0.1,5.84,False,False,False,3.518,0.4018,0.2131,5.1591
401858462,4,2026-09-26,Maryland,UCLA,1.704,0.1,5.836,True,False,False,2.917,0.3996,0.3949,5.3181
401858493,7,2026-10-17,Purdue,Washington,1.695,0.1,5.827,True,False,False,3.15,0.3194,0.5637,5.2311
401858520,11,2026-11-14,Maryland,Wisconsin,1.684,0.1,5.816,True,False,False,3.189,0.3996,0.4018,5.3181
401858499,8,2026-10-24,UCLA,Michigan State,1.655,0.1,5.787,True,False,False,3.375,0.3949,0.3706,5.3471
401858440,2,2026-09-12,Michigan State,Eastern Michigan,1.651,0.1,5.783,False,False,False,3.129,0.3706,0.2131,4.5539
401858435,1,2026-09-05,Purdue,Indiana State,1.628,0.1,5.76,False,False,False,2.855,0.3194,0.05,5.2311
401858530,12,2026-11-21,Minnesota,Northwestern,1.61,0.1,5.742,True,False,False,2.459,0.4317,0.4362,5.2781
401858424,1,2026-09-05,Illinois,UAB,1.603,0.1,5.735,False,False,False,2.779,0.4778,0.1791,4.7875
401858491,7,2026-10-17,Michigan State,Northwestern,1.598,0.1,5.73,True,False,False,2.499,0.3706,0.4362,4.5539
401858224,2,2026-09-12,Purdue,Wake Forest,1.588,0.1,5.72,False,False,False,2.855,0.3194,0.4211,5.2311
401858512,10,2026-11-07,Minnesota,UCLA,1.582,0.1,5.714,True,False,False,3.335,0.4317,0.3949,5.2781
401858472,5,2026-10-03,Illinois,Purdue,1.581,0.1,5.713,True,False,False,2.634,0.4778,0.3194,4.7875
401858498,8,2026-10-24,Northwestern,Rutgers,1.577,0.1,5.709,True,False,False,2.195,0.4362,0.3965,5.3423
